Gene,P.Value,Log FC,expression,CC
MFGE8,0.0092686,0.42452964,Down regulated,728358
YIPF1,0.0092737,0.34212865,Down regulated,113455421
PDIA6,0.0093154,0.63868081,Down regulated,54658
C19orf25,0.0093796,0.48259965,Down regulated,
SPHK2,0.0093888,0.33757694,Down regulated,115482686
TRIM71,0.0094035,0.24856084,Down regulated,
METTL13,0.0094528,0.31577858,Down regulated,115482686
IDH1,0.0094598,0.4893497,Down regulated,122394733
TBL1Y,0.0094603,0.36779669,Down regulated,115482686
TMEM54,0.0095338,0.52780838,Down regulated,
SLC25A39,0.0095755,0.23903751,Down regulated,
TMTC1,0.0096007,0.73117546,Down regulated,111089941
PPM1M,0.0096508,0.31471931,Down regulated,115482686
RPL13AP3,0.0097378,0.40011047,Down regulated,
ATP6V0E1,0.0097554,0.38851756,Down regulated,
RPL29P2,0.0097926,0.51273214,Down regulated,
RPL5,0.0097969,0.52475403,Down regulated,100506658
ZNF581,0.0098824,0.22308177,Down regulated,115482686
ERGIC3,0.0099215,0.42811766,Down regulated,111089941
SLC22A5,0.0100184,0.40591598,Down regulated,122394733
SIRT7,0.0101256,0.37813809,Down regulated,115482686
ACTG2,0.0101597,0.5602286,Down regulated,122394733
CAV1,0.0101772,0.53716433,Down regulated,100506658
NR1H3,0.0102113,0.36248281,Down regulated,115482686
GALM,0.0102718,0.38325694,Down regulated,122394733
OSTC,0.0103846,0.36533185,Down regulated,
OGN,0.0104439,0.27998163,Down regulated,728358
UTRN,0.0104969,0.4263031,Down regulated,100506658
PCSK5,0.010508,0.45310393,Down regulated,111216276
SCARNA10,0.0106209,0.30339941,Down regulated,
ST6GALNAC6,0.0106728,0.47641315,Down regulated,122394733
CFH,0.010723,0.56509671,Down regulated,113455421
BMPR1A,0.0108203,0.40197128,Down regulated,
FRMD3,0.0108951,0.67021306,Down regulated,
METTL7B,0.0109169,0.30771028,Down regulated,
RIC8B,0.010976,0.23415592,Down regulated,122394733
CCT3,0.0109785,0.37952794,Down regulated,111240474
TBX21,0.0110409,0.15583458,Down regulated,115482686
F13A1,0.0110827,0.55971754,Down regulated,728358
SLC2A11,0.0110988,0.3222268,Down regulated,113455421
CCT4,0.0111144,0.38431716,Down regulated,283652
FANCF,0.0111165,0.38356788,Down regulated,113455421
ABCB1,0.0111457,0.37592655,Down regulated,113455421
YARS,0.0111906,0.38817614,Down regulated,
SORBS1,0.0112331,0.68848314,Down regulated,246176
SDF2L1,0.0112558,0.4580463,Down regulated,120379
BRMS1,0.0113768,0.35974199,Down regulated,115482686
CASP7,0.0114665,0.72518944,Down regulated,115482686
TXNDC5,0.0117874,0.40112384,Down regulated,111089941
CDC26,0.0118457,0.38923885,Down regulated,113455421
NUFIP2,0.0118491,0.35920413,Down regulated,115482686
UBAC1,0.0118897,0.21033659,Down regulated,111240474
RPL15,0.0118982,0.34438903,Down regulated,115482686
PRKD2,0.0118995,0.322476,Down regulated,115482686
LOC100287221,0.011918,0.38101384,Down regulated,
ZAK,0.0119405,0.55732865,Down regulated,
VAMP5,0.0119513,0.44051129,Down regulated,113455421
CCDC167,0.0120585,0.33680854,Down regulated,
GNG12,0.012101,0.55798098,Down regulated,113455421
FARP1,0.012116,0.519789,Down regulated,111240474
RPS7,0.0121404,0.20804488,Down regulated,100506658
LOC96610,0.0122372,0.82654734,Down regulated,
ZNF701,0.0122758,0.26022544,Down regulated,115482686
HSPA4L,0.0122771,0.71537596,Down regulated,115482686
TNFSF14,0.0122869,0.49374264,Down regulated,122394733
PHF3,0.0123121,0.30483208,Down regulated,115482686
COMMD6,0.0123692,0.34912049,Down regulated,115482686
NTNG1,0.0124009,0.24776874,Down regulated,
CNN3,0.0124459,0.48289424,Down regulated,111240474
SNTB2,0.0124786,0.50659735,Down regulated,100506658
PSMC3,0.0124987,0.29970219,Down regulated,115482686
RPL6,0.0125598,0.34363922,Down regulated,115482686
