Gene,P.Value,Log FC,expression,CC
KIAA1462,0.0459032,0.47909225,Down regulated,
DKK2,0.0459741,0.10538402,Down regulated,
CDC25A,0.0460636,0.17901796,Down regulated,115482686
EIF2S2,0.0460726,0.26919201,Down regulated,122394733
HSP90AB2P,0.046122,0.66226177,Down regulated,
ADAMTS5,0.0461573,0.22301862,Down regulated,728358
OR2J2,0.0461593,0.18037805,Down regulated,
LGALS3BP,0.0461973,0.2478905,Down regulated,728358
LOC100506713,0.0461982,0.35384688,Down regulated,
PBX3,0.0462367,0.23936145,Down regulated,115482686
ZNF74,0.046252,0.24980066,Down regulated,115482686
DOCK9,0.046295,0.39843883,Down regulated,111240474
KLRC1,0.0463472,0.34599339,Down regulated,
MRPS18C,0.046484,0.21370442,Down regulated,
PLEKHF1,0.046525,0.26516902,Down regulated,115482686
GEMIN2,0.0465669,0.26933546,Down regulated,115482686
CBX1,0.0465974,0.18504521,Down regulated,115482686
RNPEPL1,0.0466348,0.25407247,Down regulated,
PLCD1,0.0466441,0.34629126,Down regulated,122394733
PSME1,0.0467327,0.3282972,Down regulated,113455421
MXI1,0.0467579,0.36406368,Down regulated,115482686
GUSBP1,0.0467584,0.37085719,Down regulated,
AHR,0.0467887,0.40123375,Down regulated,100506658
RALA,0.0468334,0.26233923,Down regulated,113455421
KLB,0.0469124,0.14305942,Down regulated,
GLT25D1,0.0470082,0.37668696,Down regulated,
ATP5E,0.0470678,0.48018524,Down regulated,
MAFK,0.047074,0.43245391,Down regulated,115482686
PTPN12,0.0471462,0.24734117,Down regulated,115482686
TUBA1C,0.0472003,0.36002291,Down regulated,115482686
VMA21,0.0472931,0.33186191,Down regulated,
SLC35G3,0.0473319,0.07699913,Down regulated,
CFD,0.0473982,1.04129326,Down regulated,113455421
GNA13,0.0474038,0.34692984,Down regulated,283652
HLA-L,0.0474062,0.13828836,Down regulated,
KLHL8,0.0474201,0.23186542,Down regulated,113455421
BARHL1,0.0474522,0.20232379,Down regulated,115482686
RCCD1,0.04746,0.28894086,Down regulated,111240474
ALOX15B,0.0474646,0.44732286,Down regulated,115482686
C17orf104,0.0475066,0.06932408,Down regulated,
STON2,0.0475618,0.43240318,Down regulated,111240474
SHC1,0.0476393,0.32084906,Down regulated,111240474
ZNF358,0.0476455,0.30803418,Down regulated,115482686
ACTN1,0.0477,0.56641069,Down regulated,100820829
TTTY7,0.0477559,0.08301327,Down regulated,
NARFL,0.0477576,0.15508359,Down regulated,
FAM46A,0.0478089,0.53547538,Down regulated,
PSMB5,0.0480247,0.22563175,Down regulated,115482686
CLIC2,0.0480324,0.60851913,Down regulated,115482686
RPL18,0.0481565,0.17930958,Down regulated,115482686
PPP1R14B,0.0482175,0.31548412,Down regulated,122394733
SEC22A,0.048292,0.25265087,Down regulated,
HSD17B1,0.0483906,0.51627635,Down regulated,122394733
LEF1,0.0484088,0.4083438,Down regulated,115482686
PSAP,0.0484844,0.40569475,Down regulated,728358
EEF2,0.0484858,0.25161703,Down regulated,440275
C9orf40,0.0484936,0.23543973,Down regulated,
PCDHA11,0.0485184,0.10608962,Down regulated,
C17orf59,0.0485577,0.27534978,Down regulated,
RFT1,0.0486096,0.20734218,Down regulated,
SPTSSA,0.0486622,0.25662488,Down regulated,111089941
AHNAK2,0.0486961,0.27868865,Down regulated,115482686
RPL26,0.0487041,0.21065853,Down regulated,100130932
TIMP1,0.0487575,0.68886911,Down regulated,111089941
SMG9,0.0487623,0.34565987,Down regulated,111240474
SPTLC3,0.0491131,0.17114785,Down regulated,
YKT6,0.049141,0.23910824,Down regulated,111089941
PHPT1,0.0491893,0.20514868,Down regulated,113455421
RPS18,0.0494957,0.39464177,Down regulated,115482686
AHCY,0.0495012,0.32210672,Down regulated,283652
CRIP2,0.0495264,0.3915556,Down regulated,
VEGFB,0.0496521,0.31627548,Down regulated,111216276
TRIM28,0.0497386,0.1839646,Down regulated,100506658
RSF1,0.0497534,0.24739671,Down regulated,115482686
TNFRSF1A,0.0497541,0.51542521,Down regulated,111216276
CGGBP1,0.0497999,0.32814844,Down regulated,115482686
ARHGAP42,0.0498689,0.24388427,Down regulated,
ZNF525,0.0498776,0.30290075,Down regulated,115482686
LMAN2L,0.0499485,0.28755336,Down regulated,
HIST1H2AC,0.0499889,0.52431682,Down regulated,
